episode,reward
0,148.41758108139038
1,174.10988759994507
2,156.21977734565735
3,136.967031955719
4,157.07692217826843
5,187.47252464294434
6,148.21977925300598
7,187.38461208343506
8,149.29670214653015
9,185.3186798095703
10,146.04395413398743
11,142.92307472229004
12,172.90109848976135
13,159.07692170143127
14,158.4395592212677
15,154.43955755233765
16,168.4175796508789
17,167.53845977783203
18,176.52747082710266
19,175.9560422897339
20,148.21977853775024
21,135.58241772651672
22,167.80219554901123
23,166.65933895111084
24,150.61538410186768
25,170.8131856918335
26,167.0549430847168
27,166.92307472229004
28,166.967031955719
29,139.6043951511383
30,119.18681311607361
31,148.5054931640625
32,146.79120779037476
33,187.6703281402588
34,166.39560222625732
35,127.05494236946106
36,176.81318521499634
37,145.53845930099487
38,117.91208577156067
39,118.2637345790863
40,156.30768990516663
41,174.70329570770264
42,158.04395484924316
43,185.51648139953613
44,167.6923065185547
45,147.84615325927734
46,156.8131866455078
47,155.99999904632568
48,167.6703290939331
49,176.37362670898438
50,136.43955993652344
51,157.36263513565063
52,185.80219650268555
53,176.04395389556885
54,157.80219626426697
55,168.2197790145874
56,158.24175572395325
57,183.80219745635986
58,149.0989007949829
59,166.13186717033386
60,154.4175808429718
61,144.74725031852722
62,168.5054931640625
63,156.98900938034058
64,175.3846139907837
65,157.16483402252197
66,167.40659093856812
67,149.47252702713013
68,160.3076913356781
69,148.8131856918335
70,158.54944825172424
71,148.10988855361938
72,155.4945032596588
73,158.59340572357178
74,175.80219650268555
75,157.89010787010193
76,147.054945230484
77,174.63736271858215
78,156.87912011146545
79,166.39560317993164
80,148.70329570770264
81,167.53846168518066
82,159.49450492858887
83,169.1648349761963
84,157.5384602546692
85,176.76922798156738
86,167.40659046173096
87,168.8351640701294
88,167.82417392730713
89,159.47252655029297
90,166.32966923713684
91,156.79120779037476
92,177.14285731315613
93,147.03296566009521
94,177.3846137523651
95,167.14285469055176
96,187.25274848937988
97,158.9450545310974
98,169.18681240081787
99,185.38461589813232
100,158.2857129573822
101,146.68131756782532
102,160.61538314819336
103,186.94505405426025
104,137.64835119247437
105,147.9999988079071
106,168.06593322753906
107,155.3406584262848
108,113.53846073150635
109,167.25274562835693
110,108.8351628780365
111,157.7582404613495
112,187.5824155807495
113,158.1538441181183
114,186.02197551727295
115,155.076922416687
116,156.13186645507812
117,167.51648235321045
118,166.65933895111084
119,157.78021717071533
120,156.70329475402832
121,183.25274562835693
122,166.59340572357178
123,137.05494499206543
124,165.5164818763733
125,149.20879077911377
126,146.39560317993164
127,157.12087845802307
128,167.14285564422607
129,165.0989007949829
130,158.87912034988403
131,146.61538410186768
132,185.18681240081787
133,186.63736152648926
134,167.23076725006104
135,186.37362480163574
136,147.27472376823425
137,155.2527458667755
138,166.50549221038818
139,186.46153736114502
140,184.85714149475098
141,138.74725127220154
142,136.61538314819336
143,155.58241748809814
144,159.16483426094055
145,168.37362575531006
146,169.89010906219482
147,176.1318666934967
148,176.54944896697998
149,186.7472505569458
150,168.08791065216064
151,158.52747225761414
152,183.5824155807495
153,175.99999833106995
154,135.6483497619629
155,184.37362384796143
156,157.78021836280823
157,175.05494332313538
158,157.89010906219482
159,118.32966923713684
160,158.54944920539856
161,169.076922416687
162,185.2967014312744
163,157.99999833106995
164,187.4065923690796
165,129.78021883964539
166,166.24175643920898
167,177.71428608894348
168,186.0219783782959
169,156.967031955719
170,158.28571271896362
171,162.26373529434204
172,147.692307472229
173,158.26373481750488
