episode,entropy
0,2.475885061117319
1,2.4758355617523193
2,2.475845373593844
3,2.475517144569984
4,2.4757955257709208
5,2.476157316794762
6,2.4761370695554294
7,2.4766542728130636
8,2.476261725792518
9,2.4760755759019117
10,2.4763751396766076
11,2.4766871195573072
12,2.476627826690674
13,2.4764756055978627
14,2.4766300274775577
15,2.4764698835519643
16,2.4764632995312033
17,2.4759265092703013
18,2.475596079459557
19,2.4753616589766283
20,2.475492917574369
21,2.475016557253324
22,2.4745699075552134
23,2.4745439015902004
24,2.4742531776428223
25,2.473996455852802
26,2.4739974462068997
27,2.4735184082618127
28,2.473101964363685
29,2.473242062788743
30,2.4722604201390195
31,2.472530750127939
32,2.4718597485468936
33,2.4717999421633206
34,2.471940279006958
35,2.4712153398073635
36,2.471385460633498
37,2.4706690311431885
38,2.4710884644435
39,2.4709118146162767
40,2.4704849536602316
41,2.470948787835928
42,2.470250661556537
43,2.469552205159114
44,2.4693952156947208
45,2.4690017516796408
46,2.4693128145658054
47,2.4694777818826528
48,2.4689435225266676
49,2.468958066059993
50,2.468768358230591
51,2.469451977656438
52,2.468918066758376
53,2.468450692983774
54,2.4685139105870175
55,2.4682394908024716
56,2.468712091445923
57,2.4693272480597863
58,2.4675441155066857
59,2.4677376747131348
60,2.468471655478844
61,2.467624169129592
62,2.468156282718365
63,2.4674282990969143
64,2.466735894863422
65,2.467826458124014
66,2.467369006230281
67,2.4666920258448672
68,2.4665371087881236
69,2.4669570739452658
70,2.4662171327150784
71,2.4659030620868387
72,2.467660738871648
73,2.466075402039748
74,2.465527791243333
75,2.466872967206515
76,2.4664850418384257
77,2.466562582896306
78,2.467559869472797
79,2.467077145209679
80,2.4672196828402004
81,2.4672193710620585
82,2.469023869587825
83,2.4673294654259315
84,2.467313986558181
85,2.468157804929293
86,2.467600400631244
87,2.467969509271475
88,2.4685769081115723
89,2.468162463261531
90,2.468292969923753
91,2.4691872963538537
92,2.469113441614004
93,2.469964174123911
94,2.4701482332669773
95,2.4704331434690037
96,2.470578138644879
97,2.4715353892399716
98,2.4710593773768497
99,2.4715899320749135
100,2.471732708124014
101,2.4711839785942664
102,2.4713019957909217
103,2.4716415038475623
104,2.472369065651527
105,2.472145282305204
106,2.4726187082437368
107,2.4722003569969764
108,2.472055563559899
109,2.472324701455923
110,2.4725708961486816
111,2.4723691940307617
112,2.472386726966271
113,2.471576158816998
114,2.471706958917471
115,2.47141249363239
116,2.4724248555990367
117,2.4718556037315955
118,2.471598111666166
119,2.471604879085834
120,2.471800602399386
121,2.4714827904334435
122,2.4722434007204495
123,2.4725217635814962
124,2.4717541291163516
125,2.4721145629882812
126,2.472091014568622
127,2.472410458784837
128,2.4721517929664025
129,2.472662613942073
130,2.472278118133545
131,2.4727235390589786
132,2.473462911752554
133,2.47292474599985
134,2.472861968553983
135,2.4727882788731503
136,2.473359621488131
137,2.473708849686843
138,2.4741477966308594
139,2.4738319653731127
140,2.474136132460374
141,2.47426385145921
142,2.474128301327045
143,2.4743008613586426
144,2.474189574901874
145,2.4739683958200307
146,2.4741632754986105
147,2.473104843726525
148,2.473997409527118
149,2.4730267157921424
150,2.4732637221996603
151,2.473742228287917
152,2.472987468426044
153,2.4731083466456485
154,2.4732783941122203
155,2.4725201313312235
156,2.4726854104262133
157,2.4719994434943566
158,2.472650546293992
159,2.4720005072080173
160,2.471722364425659
161,2.471645813721877
162,2.471006705210759
163,2.4715288418989916
164,2.470514627603384
165,2.470323214164147
166,2.4703819201542783
167,2.4701521396636963
168,2.469295153251061
169,2.469825267791748
170,2.4692162367013784
171,2.4695455844585714
172,2.4692783722510705
173,2.4688749680152307
174,2.469550994726328
175,2.467835646409255
176,2.468055945176345
177,2.4678019743699293
178,2.4677094496213474
179,2.467682489982018
180,2.46647886129526
181,2.4666533286754904
182,2.466489315032959
183,2.4661771150735707
184,2.465771510050847
185,2.4650644339047947
186,2.466652833498441
187,2.4652815965505748
188,2.465365409851074
189,2.464775195488563
190,2.4657477598923903
191,2.4645193356734056
192,2.4637578634115367
193,2.4641505571512075
194,2.4633208421560435
195,2.4635179959810696
196,2.4625222866351786
197,2.4633194483243503
198,2.462908524733323
199,2.4623385759500356
200,2.4620551879589376
201,2.461544623741737
202,2.4637281527886024
203,2.4616767259744496
204,2.46084293952355
205,2.4603944374964786
206,2.4622075374309835
207,2.4605867312504697
208,2.4599522260519175
209,2.459960203904372
210,2.4597752827864428
211,2.459917581998385
212,2.459955123754648
213,2.460614662904006
214,2.4594467053046594
215,2.4593092661637526
216,2.4586832339947042
217,2.4589343070983887
218,2.4590903979081373
219,2.4592113128075233
220,2.458398488851694
221,2.459184903364915
222,2.4601185505206766
223,2.4595050444969764
224,2.458979790027325
225,2.459887302838839
226,2.4588456520667443
227,2.458786285840548
228,2.458981073819674
229,2.458672101681049
230,2.4584369476024923
231,2.4586827021378737
232,2.458247423171997
233,2.4563295657818136
234,2.4585368633270264
235,2.4577440665318417
236,2.4582384733053355
237,2.4578517033503604
238,2.457578493998601
239,2.4569089923586165
240,2.457112660774818
241,2.457301378250122
242,2.4565850221193752
243,2.4556632408728967
244,2.456401751591609
245,2.4555444167210507
246,2.4558520317077637
247,2.4560677455021787
248,2.457142866574801
249,2.456468105316162
250,2.4556592244368334
251,2.45563452060406
252,2.4554799703451304
253,2.4561842588277965
254,2.4563532242408166
255,2.454570018328153
256,2.454101745898907
257,2.4550835352677565
258,2.453195388500507
259,2.4529996651869554
260,2.453317697231586
261,2.4525243685795712
262,2.4518411526313195
263,2.453881942308866
264,2.4512652984032264
265,2.451204850123479
266,2.451237678527832
267,2.4490414215968204
268,2.451761484146118
269,2.450495793269231
270,2.4491605575268087
271,2.4512138550098124
272,2.4496241349440355
273,2.449299775637113
274,2.4504700807424693
275,2.450265334202693
276,2.4492501662327695
277,2.451341042151818
278,2.4509467161618748
279,2.4514404076796312
280,2.4506317652188816
281,2.4510585344754734
282,2.450151260082538
283,2.450185042161208
284,2.450203216992892
285,2.4492751451639028
286,2.4488459733816295
287,2.4494210206545315
288,2.448346266379723
289,2.447858223548302
290,2.447062712449294
291,2.448114413481492
292,2.4488432774176965
293,2.449142474394578
294,2.4486733766702504
295,2.4481786214388332
296,2.4477904576521654
297,2.4477771612314076
298,2.4479781297536998
299,2.44740708057697
300,2.4468491811018724
301,2.4449597872220554
