episode,entropy
0,2.476471735880925
1,2.476030111312866
2,2.4760618026439962
3,2.4747869968414307
4,2.4750658732194166
5,2.47544264793396
6,2.4762442845564623
7,2.476095052865835
8,2.475872461612408
9,2.475371690896841
10,2.475317808297964
11,2.4743651243356557
12,2.4738167432638316
13,2.472725042930016
14,2.4715113089634824
15,2.4704691079946666
16,2.4699191863720236
17,2.4679431181687574
18,2.466450416124784
19,2.465922080553495
20,2.4654606672433705
21,2.464709685398982
22,2.4637720584869385
23,2.462952815569364
24,2.461936987363375
25,2.461189104960515
26,2.459923450763409
27,2.4587607016930213
28,2.458540971462543
29,2.458242471401508
30,2.4588350699498105
31,2.459062154476459
32,2.4596425203176646
33,2.4600836680485654
34,2.4601174868070164
35,2.4598420766683726
36,2.459710322893583
37,2.4591980347266564
38,2.4594857142521787
39,2.4586309102865367
40,2.4591136895693264
41,2.4583277702331543
42,2.458191853303176
43,2.458047921840961
44,2.4570022362929125
45,2.4571652779212365
46,2.456706615594717
47,2.4564834191248965
48,2.4562553809239316
49,2.4566896695357103
50,2.456445804009071
51,2.4560378148005557
52,2.45576260640071
53,2.4559604021219106
54,2.45621290573707
55,2.45586608006404
56,2.4564054562495303
57,2.456326576379629
58,2.456914333196787
59,2.457848365490253
60,2.4575619514171896
61,2.4585005136636586
62,2.458426622244028
63,2.4578564167022705
64,2.4576615186838002
65,2.4564982927762546
66,2.457015771132249
67,2.4548427691826453
68,2.4539807576399584
69,2.453075408935547
70,2.4515173802008996
71,2.4488402696756215
72,2.448795355283297
73,2.44833412537208
74,2.446997440778292
75,2.444440016379723
76,2.4448808339925914
77,2.441586421086238
78,2.442005157470703
79,2.4399468898773193
80,2.438443055519691
81,2.4373525105989895
82,2.4363021483788123
83,2.4359787794259877
84,2.435923466315636
85,2.435324393785917
86,2.4345962084256687
87,2.4341436349428616
88,2.4329357880812426
89,2.4319116335648756
90,2.4331992589510403
91,2.4334005392514744
92,2.433070256159856
93,2.4332076219411998
94,2.433364978203407
95,2.4326340968792257
96,2.4319291481604943
97,2.4328972743107724
98,2.4330040491544285
99,2.432021141052246
100,2.431504359612098
101,2.4296564872448263
102,2.4288976926069994
103,2.428035956162673
104,2.425119711802556
105,2.425247082343468
106,2.4226403603186975
107,2.4214849838843713
108,2.420016802274264
109,2.4216323449061465
110,2.4206304733569803
111,2.421302997148954
112,2.421125155228835
113,2.422087779411903
114,2.4234289756188025
115,2.424750254704402
116,2.4250294061807485
117,2.4271703500014086
118,2.4274717294252834
119,2.430386946751521
120,2.4313215842613807
121,2.4335540991563063
122,2.4338713059058557
123,2.436412811279297
124,2.4371957228733945
125,2.4378990026620717
126,2.439259198995737
127,2.440731745499831
128,2.4404089084038367
129,2.4399876044346738
130,2.4394409473125753
131,2.439814861004169
132,2.440603182866023
133,2.4377903571495643
