episode,reward
0,169.18681144714355
1,146.8791208267212
2,143.9120864868164
3,156.21977972984314
4,158.61538314819336
5,157.626371383667
6,167.99999809265137
7,144.94505333900452
8,137.07692217826843
9,158.30769085884094
10,166.68131828308105
11,154.37362575531006
12,168.70329570770264
13,177.20879101753235
14,186.04395389556885
15,186.26373481750488
16,175.20878887176514
17,166.87911939620972
18,143.80219650268555
19,170.50549507141113
20,157.5164816379547
21,129.25274682044983
22,165.7362642288208
23,185.03296566009521
24,165.5824155807495
25,156.54944801330566
26,159.0769214630127
27,169.75824069976807
28,167.01098823547363
29,157.6703290939331
30,162.7912073135376
31,155.3846139907837
32,148.76923060417175
33,159.34065794944763
34,155.86813068389893
35,166.4615375995636
36,136.76922965049744
37,139.18681240081787
38,128.85714149475098
39,157.67033004760742
40,177.5604383945465
41,177.75823879241943
42,156.92307472229004
43,158.1318666934967
44,167.23076725006104
45,137.86813139915466
46,157.82417488098145
47,165.45054817199707
48,186.68131828308105
49,173.38461422920227
50,175.01098656654358
51,135.40659165382385
52,168.41758155822754
53,146.30769228935242
54,156.15384459495544
55,158.329669713974
56,174.48351526260376
57,168.46153736114502
58,128.59340381622314
59,166.30768966674805
60,167.3626365661621
61,136.54944968223572
62,147.27472305297852
63,165.51648139953613
64,165.84615230560303
65,186.39560413360596
66,148.3956036567688
67,167.58241653442383
68,158.26373600959778
69,158.9890100955963
70,124.63736128807068
71,160.02197670936584
72,166.1098871231079
73,167.31868028640747
74,177.51648139953613
75,167.80219650268555
76,175.86813020706177
77,158.1318666934967
78,167.49450397491455
79,157.82417511940002
80,167.53846073150635
81,160.08791184425354
82,158.13186645507812
83,169.05494499206543
84,146.59340596199036
85,137.6263711452484
86,166.13186836242676
87,158.37362575531006
88,164.8351640701294
89,148.8351640701294
90,156.28571319580078
91,164.54944777488708
92,168.72527313232422
93,140.37362504005432
94,167.99999809265137
95,158.04395484924316
96,157.7142848968506
97,176.8571422100067
98,138.8791205883026
99,168.96703243255615
100,114.1538462638855
101,157.16483449935913
102,168.61538410186768
103,168.7912073135376
104,133.01098823547363
105,158.08791136741638
106,163.5824155807495
107,156.72527360916138
108,166.7692289352417
109,187.0549440383911
110,158.68131709098816
111,165.58241653442383
112,157.71428442001343
113,165.626371383667
114,159.58241629600525
115,158.48351407051086
116,175.73626232147217
117,184.81318378448486
118,155.58241653442383
119,149.5164828300476
120,185.84615325927734
121,159.53845953941345
122,177.05494356155396
123,156.21977829933167
124,135.20879077911377
125,166.90109634399414
126,158.41758131980896
127,168.32966899871826
128,136.28571343421936
