episode,reward
0,186.4615364074707
1,156.28571438789368
2,158.4835147857666
3,162.96703100204468
4,158.65933990478516
5,168.65933990478516
6,156.79120755195618
7,150.15384483337402
8,148.59340524673462
9,175.89011144638062
10,186.61538219451904
11,159.1648347377777
12,147.71428394317627
13,156.659339427948
14,158.76922917366028
15,148.15384554862976
16,157.8241741657257
17,138.30769205093384
18,184.92307567596436
19,147.14285516738892
20,149.2087903022766
21,184.32966804504395
22,157.03296661376953
23,168.24175643920898
24,156.98900961875916
25,168.63736248016357
26,159.0769226551056
27,137.3186798095703
28,159.3186800479889
29,168.04395484924316
30,147.40659189224243
31,185.05494213104248
32,167.14285564422607
33,127.6483507156372
34,166.63736152648926
35,147.97802066802979
36,159.3626365661621
37,156.43955898284912
38,138.57142806053162
39,139.20879125595093
40,169.56043910980225
41,177.1648337841034
42,166.8131856918335
43,167.03296566009521
44,137.29670214653015
45,157.69230580329895
46,144.6153826713562
47,156.8571412563324
48,156.1977996826172
49,127.69230651855469
50,167.0769214630127
51,138.87912011146545
52,156.79120635986328
53,185.75823974609375
54,166.61538314819336
55,155.97802114486694
56,95.15384578704834
57,147.78022003173828
58,145.64835119247437
59,156.61538362503052
60,147.1208779811859
61,168.13186645507812
62,167.75824069976807
63,167.78021907806396
64,177.4945056438446
65,147.89010858535767
66,167.14285564422607
67,135.86813163757324
68,169.47252655029297
69,186.5494499206543
70,169.14285564422607
71,166.87911987304688
72,158.94505381584167
73,187.23076820373535
74,176.98901057243347
75,155.6263711452484
76,185.3406572341919
77,175.91208600997925
78,187.05494213104248
79,168.57142734527588
80,176.21977710723877
81,186.72527408599854
82,168.68131732940674
83,169.56043815612793
84,186.24175930023193
85,168.15384483337402
86,166.59340572357178
87,128.8131868839264
88,166.81318473815918
89,169.73626232147217
90,120.50549340248108
91,170.48351573944092
92,186.32966804504395
93,177.60439491271973
94,158.74725127220154
95,168.96703243255615
96,167.8901081085205
97,129.58241653442383
98,149.07692170143127
99,165.45054817199707
100,147.75824165344238
101,157.31867933273315
102,188.35164642333984
103,175.9780192375183
104,159.09890007972717
105,157.18681168556213
106,148.90109872817993
107,156.81318545341492
108,167.47252655029297
109,157.714284658432
110,157.01098775863647
111,186.08790969848633
112,158.37362504005432
113,139.40659165382385
114,185.49450588226318
115,165.0549430847168
116,148.65933918952942
117,158.7472517490387
118,167.3406581878662
119,148.68131732940674
120,148.08791065216064
121,131.16483402252197
122,157.99999833106995
123,110.52747201919556
124,138.59340500831604
125,167.23076820373535
126,129.62637281417847
127,167.8901071548462
128,148.74725151062012
129,168.1978006362915
130,130.04395389556885
131,167.75824069976807
132,146.5494499206543
133,185.6703290939331
134,155.6263725757599
135,150.54944944381714
136,167.49450397491455
137,148.65933966636658
138,137.80219745635986
139,169.78021907806396
140,150.46153831481934
141,139.23076820373535
142,159.27472448349
143,124.87911987304688
144,149.6263725757599
145,169.01098823547363
146,160.5054931640625
147,159.03296661376953
148,148.06593322753906
149,156.19780111312866
150,156.46153736114502
151,149.1648349761963
152,119.60439491271973
153,140.08791065216064
154,114.4395604133606
155,167.8681297302246
156,160.39560317993164
157,128.48351526260376
158,148.659339427948
159,138.35164666175842
160,126.83516335487366
161,165.82417392730713
162,169.99999904632568
163,109.71428489685059
164,168.96703147888184
165,150.08791041374207
166,186.19780158996582
167,177.40659141540527
168,166.48351383209229
169,127.49450421333313
170,138.68131732940674
171,186.92307567596436
172,120.85714173316956
173,158.61538314819336
174,168.35164737701416
175,135.47252702713013
176,159.9340648651123
177,128.37362575531006
178,138.81318640708923
179,157.58241629600525
180,147.8461515903473
181,166.85714149475098
182,138.08791065216064
183,166.94505262374878
184,140.02197813987732
185,105.41758120059967
186,111.69230651855469
187,128.659339427948
188,170.68131732940674
189,141.2087905406952
190,140.68131828308105
191,159.4065923690796
192,154.87912130355835
193,148.92307662963867
194,166.90109825134277
195,135.18681263923645
196,111.52747118473053
197,159.2087914943695
198,156.92307448387146
199,148.5274703502655
200,128.15384578704834
201,158.37362575531006
202,139.58241653442383
203,178.08791041374207
204,147.2527449131012
205,140.17582178115845
206,109.97802114486694
207,139.73626232147217
208,138.61538362503052
209,129.23076844215393
210,117.53845977783203
211,139.51648330688477
212,159.42857122421265
213,135.29670190811157
214,113.1648337841034
215,129.3846139907837
216,138.0219762325287
217,158.7692289352417
218,118.1978018283844
219,174.94505310058594
220,148.87912106513977
221,166.30769062042236
222,176.39560627937317
223,129.45054817199707
224,108.50549387931824
225,159.95604300498962
226,183.56043815612793
227,128.5054931640625
228,144.04395508766174
229,95.37362515926361
230,137.25274538993835
231,121.29670310020447
232,169.03296756744385
233,102.68131756782532
234,98.37362575531006
235,130.48351526260376
236,137.4505476951599
237,139.45054936408997
238,149.4065923690796
239,159.78021907806396
240,120.35164713859558
241,168.00000023841858
242,110.04395484924316
243,116.90109777450562
244,158.72527432441711
245,167.40659141540527
246,140.04395389556885
247,158.26373481750488
248,158.35164737701416
249,120.08791136741638
250,129.75824069976807
251,158.83516430854797
252,128.8571422100067
253,120.6813178062439
254,107.80219841003418
255,46.57142877578735
256,101.23076891899109
257,168.65933895111084
258,148.81318712234497
259,157.71428537368774
260,138.2197802066803
261,168.8351650238037
262,120.15384554862976
263,148.30768966674805
264,163.23076725006104
265,110.13186883926392
266,129.4285707473755
267,156.08791136741638
268,157.80219650268555
269,169.27472400665283
270,111.4285717010498
271,118.30769157409668
272,119.16483402252197
273,149.62637305259705
274,118.29670298099518
275,94.02197670936584
276,167.3406572341919
277,128.7912073135376
278,158.24175667762756
279,147.45054864883423
280,119.45054841041565
281,128.9230761528015
282,119.31867957115173
283,176.68131804466248
284,138.32966899871826
285,116.59340500831604
286,128.8571422100067
287,129.1428565979004
288,170.41758155822754
289,120.5274715423584
290,129.0769214630127
291,158.3076901435852
292,108.92307567596436
293,177.47252583503723
294,111.15384590625763
295,100.92307686805725
296,137.36263704299927
297,187.3626356124878
298,140.61538410186768
299,136.0
300,139.12087774276733
301,109.91208791732788
302,113.23076820373535
303,128.17582321166992
304,137.3846137523651
305,158.98901104927063
306,148.6373610496521
307,149.2967028617859
308,169.12087726593018
309,156.52747178077698
310,109.97802114486694
311,109.73626232147217
312,117.54944956302643
313,139.07692170143127
314,130.5714282989502
315,117.81318712234497
316,98.46153855323792
317,154.3956024646759
318,118.85714268684387
319,127.78021717071533
320,129.8901081085205
321,118.61538338661194
322,117.95604228973389
323,74.24175786972046
324,167.97802066802979
325,106.07692289352417
326,85.45054984092712
327,176.7032949924469
328,158.21977972984314
329,137.18681120872498
330,148.4395604133606
331,178.1978018283844
332,119.47252821922302
333,77.3736264705658
334,178.15384483337402
335,106.13186597824097
336,168.30769157409668
337,159.05494475364685
338,148.87911939620972
339,119.73626351356506
340,119.62637257575989
341,129.34065771102905
342,119.71428489685059
343,138.967031955719
344,108.63736200332642
345,125.95604228973389
346,110.65933966636658
347,86.89010846614838
348,97.86813044548035
349,119.40659260749817
350,130.92307567596436
351,151.27472639083862
352,160.48351621627808
353,100.08791184425354
354,149.6043951511383
355,159.9340648651123
356,102.83516502380371
357,167.9560422897339
358,155.67032957077026
359,155.97802257537842
360,149.80219793319702
361,68.39560437202454
362,97.13186764717102
363,148.70329427719116
364,108.74725151062012
365,119.93406510353088
366,127.73626232147217
367,146.967031955719
368,110.09889996051788
369,130.10988903045654
370,110.659339427948
371,150.1318678855896
372,95.26373541355133
373,97.86812973022461
374,128.32966828346252
375,140.06593418121338
376,118.35164666175842
377,148.74725198745728
378,139.4725263118744
379,119.47252678871155
380,159.7142848968506
381,119.18681216239929
382,108.78021919727325
383,127.93406510353088
384,118.93406593799591
385,126.5714271068573
386,158.5274715423584
387,148.0879101753235
388,159.4725272655487
389,107.97802138328552
390,94.25274693965912
391,121.25274801254272
392,129.34065866470337
393,137.82417559623718
394,90.5384613275528
395,99.87912023067474
396,116.96703124046326
397,127.0329658985138
398,137.49450373649597
399,139.62637376785278
400,139.3186798095703
401,130.54945039749146
402,99.61538410186768
403,139.78021812438965
404,147.99999856948853
405,119.84615230560303
406,115.28571236133575
407,168.2197780609131
408,129.1868131160736
409,128.54944968223572
410,156.76922965049744
411,148.747252702713
412,130.21977949142456
413,113.82417678833008
414,120.81318664550781
415,149.89010906219482
416,119.40659427642822
417,113.58241653442383
418,157.2967014312744
419,118.021977186203
420,140.83516430854797
421,129.25274658203125
422,98.87912058830261
423,100.17582488059998
424,157.9999988079071
425,129.9340660572052
426,121.47252821922302
427,130.7912082672119
428,130.13186836242676
429,127.93406581878662
430,149.6703290939331
431,159.91208720207214
432,130.06593418121338
433,101.18681168556213
434,130.61538314819336
435,169.56043815612793
436,148.87911939620972
437,138.52747058868408
438,156.90109658241272
439,137.36263751983643
440,88.92307639122009
441,169.09890174865723
442,128.52747130393982
443,125.42856931686401
444,108.56043934822083
445,86.38461685180664
446,119.16483473777771
447,112.4615387916565
448,139.3186800479889
449,131.14285612106323
450,99.49450469017029
451,161.03296637535095
452,138.5714282989502
453,117.38461589813232
454,99.40659427642822
455,140.52747225761414
456,89.46153831481934
457,86.95604372024536
458,127.49450397491455
459,150.6813178062439
460,111.36263728141785
461,149.4505491256714
462,129.40659141540527
463,167.9560432434082
464,149.64835023880005
465,129.3186798095703
466,109.8461525440216
467,130.2417573928833
468,100.93406522274017
469,101.58241724967957
470,100.52747249603271
471,120.28571367263794
472,148.90109848976135
473,150.19780135154724
474,177.2747232913971
475,91.51648235321045
476,135.6483507156372
477,99.20878958702087
478,118.10988926887512
479,90.85714292526245
480,112.02197790145874
481,111.36263656616211
482,94.28571343421936
483,37.78022003173828
484,119.45054769515991
485,119.84615302085876
486,82.45054936408997
487,81.90109920501709
488,128.1098895072937
489,90.24175882339478
490,157.56043934822083
491,156.79120802879333
492,168.96703338623047
493,169.91208839416504
494,90.81318712234497
495,120.0219783782959
496,112.18681287765503
497,126.4615364074707
498,101.29670214653015
499,147.45054864883423
500,111.27472472190857
501,53.230769634246826
502,83.59340536594391
503,127.69230651855469
504,118.83516502380371
505,127.97802233695984
506,128.32967066764832
507,129.40659427642822
508,147.23076915740967
509,122.04395771026611
510,99.76923060417175
511,128.5714282989502
512,94.97802209854126
513,84.35164713859558
514,88.99999809265137
515,86.42856955528259
516,74.31868004798889
517,92.9120876789093
518,107.67032814025879
519,118.13186740875244
520,119.86813139915466
521,101.14285635948181
522,101.23076796531677
523,92.87911915779114
524,99.60439491271973
525,97.06593322753906
526,109.09889936447144
527,108.05494475364685
528,114.71428608894348
529,120.04395651817322
530,128.41758155822754
531,66.69230842590332
532,104.09890031814575
533,87.67032933235168
534,137.73626351356506
535,98.98901057243347
536,127.84615325927734
537,148.98901057243347
538,120.06593298912048
539,117.60439324378967
540,156.43955850601196
541,102.42857050895691
